rank,athlete,age,school,eventName,eventCategory,round,seed,mark,wind,points
1,Travis Smikle,19,Calabar High,Discus Throw,Field,NA,63.96m,54.89m,NA,NA
2,Fedrick Dacres,17,Calabar High,Discus Throw,Field,NA,55.63m,48.82m,NA,NA
3,Rajae Gayle,19,Munro College,Discus Throw,Field,NA,49.62m,48.32m,NA,NA
4,Shaquille Lewis,18,Jamaica College,Discus Throw,Field,NA,40.04m,43.01m,NA,NA
5,Kashif Ford,17,Jamaica College,Discus Throw,Field,NA,40.04m,41.84m,NA,NA
6,Jeffery King,19,St. Jago High,Discus Throw,Field,NA,44.83m,40.56m,NA,NA
7,Jason Cross,19,Wolmers' Boys,Discus Throw,Field,NA,44.04m,39.56m,NA,NA
8,Fabeon Tucker,17,Edwin Allen High,Discus Throw,Field,NA,42.11m,38.99m,NA,NA
9,Raschane Cunningham,19,Kingston College,Discus Throw,Field,NA,45.16m,38.84m,NA,NA
10,Roderick Campbell,18,St. Jago High,Discus Throw,Field,NA,41.26m,38.75m,NA,NA
11,Emmanuel Onyia,18,Munro College,Discus Throw,Field,NA,51.10m,38.33m,NA,NA
12,Chadwick DaCOSTA,17,Kingston College,Discus Throw,Field,NA,46.78m,38.13m,NA,NA
13,Nicoholas Nathan,18,Petersfield High,Discus Throw,Field,NA,38.25m,37.42m,NA,NA
14,Carlington Sinclair,19,Manchester High,Discus Throw,Field,NA,35.61m,36.29m,NA,NA
15,Mark Davidson,17,Bridgeport,Discus Throw,Field,NA,39.64m,35.90m,NA,NA
16,Seldwyn Morgan,17,Claude McKAY High,Discus Throw,Field,NA,36.00m,35.57m,NA,NA
17,Oshane Forbes,18,Balaclava High,Discus Throw,Field,NA,33.16m,31.72m,NA,NA
18,Alphanso Bloise,19,Holmwood Technical,Discus Throw,Field,NA,31.32m,30.72m,NA,NA
19,Damion King,19,Oberlin High,Discus Throw,Field,NA,35.62m,28.11m,NA,NA
20,Ricardo McKENZIE,19,Glenmuir High,Discus Throw,Field,NA,36.59m,26.82m,NA,NA
--,Demar Samuels,17,Godfrey Stewart,Discus Throw,Field,NA,31.87m,ND,NA,NA
--,Orrin Powell,19,Vere Technical,Discus Throw,Field,NA,44.43m,DNS,NA,NA
--,Jeffery Graham,17,Petersfield High,Discus Throw,Field,NA,40.26m,DNS,NA,NA
